id,company,year,scope,value,category,source,source_link,notes
973e5320-4dfd-413a-bc08-c0da85004718,EVN AG,2016,3,7680936,,Ganzheitsbericht 2018/19,https://drive.google.com/file/d/19YImxoT1iMkMv3yXnTWgrSWy1cFtG8fg/view?usp=drive_link,
d3113397-1730-4d17-912c-c9b331d54a28,Do & Co AG,2016,2,,location_based,,,
25553c82-0cbc-45f9-83ea-c3f68cc8e3a0,CA Immobilien Anlagen AG,2019,1,11586,,Konzernlagebericht 2022,https://drive.google.com/file/d/1UA0ubBYCo33_haDn8VYWURhPSLeSY5vu/view?usp=drive_link,
0874542d-9d32-489f-9b6f-4f3e48e776f3,Wienerberger AG,2017,1,,,,,
dcc7566b-d6f4-4982-8dd0-5d37b8af4614,AT & S AG,2017,1,,,,,https://drive.google.com/file/d/1SmK-5ttFhMu5SHZifN0mZ6WI_Nfs27Yg/view?usp=drive_link
4174455c-caa7-4617-a1b9-bf98201a30b3,Mayr-Melnhof Karton AG,2016,2,,market_based,Nichtfinanzieller Bericht 2017,https://drive.google.com/file/d/1kc8SNxoKvqi4Vn6LQC2k0yoBWedTv6Am/view?usp=drive_link,
ffc4394a-e510-4793-b3b3-7f0248799f25,Andritz AG,2017,3,,,Jahresabschluss 2018,https://drive.google.com/file/d/1OXcRpQoK7-LTxMxfFyQpXqq4I_oVFxtT/view?usp=drive_link,
4535367a-8d01-4036-867b-2effa2a3168e,Immofinanz AG,2017,1,,,,,
0fd9db57-e447-45a4-99a8-035969fd6f9a,Andritz AG,2018,1,24985,,Andritz-Finanzbericht 2019,https://drive.google.com/file/d/1QFMW7qOKMUxB7W1wZOGSuHxD9u9AoOhL/view?usp=drive_link,
82e893f9-aa0b-4a60-96f2-0172bbcb9b09,Vienna Insurance Group AG,2016,2,,location_based,,,
85635695-02a2-4e5c-a99b-01699e3aebf4,Verbund AG,2016,2,273000,market_based,integrierter Geschäftsbericht 2018,https://drive.google.com/file/d/1-jShgaeGgvs9cNMUZCT19Vj89GCb-9a-/view,
b0167d77-4570-4768-8e95-1155d8e00b10,Erste Group Bank AG,2017,2,,location_based,Nichtfinanzieller Bericht 2017,https://drive.google.com/file/d/1uMB6xn4MQNKE8972Sj_xxwIA-3JvM9je/view?usp=drive_link,
1cdbd6a2-d8b6-4379-8e97-7c902ed6be00,Voestalpine AG,2017,2,,unclear,Corporate Responsibility Report 2021/22,https://drive.google.com/file/d/1HJxx2QfaG3m6YH7NkQsPC9asGXIfUrY4/view?usp=drive_link,
c0cc7592-6ba9-401b-ae38-5184a070efdf,OMV AG,2016,3,113000000,,Nachhaltigkeitsbericht 2020,https://drive.google.com/file/d/1AAhsFhq8PxhnS1RVCRzPjOF5Z_-4B7ZG/view?usp=drive_link,
286559ab-e899-4029-a1d5-89578eb4321d,Andritz AG,2018,2,68365,location_based,Andritz-Finanzbericht 2019,https://drive.google.com/file/d/1QFMW7qOKMUxB7W1wZOGSuHxD9u9AoOhL/view?usp=drive_link,
b51acc95-e721-40e3-85ba-d6e7a8c3986c,Verbund AG,2016,1,1007000,,integrierter Geschäftsbericht 2018,https://drive.google.com/file/d/1-jShgaeGgvs9cNMUZCT19Vj89GCb-9a-/view,
86f27c4a-cb6f-4f3e-9715-acb6ef2d0e89,Mayr-Melnhof Karton AG,2016,1,500000,,Nichtfinanzieller Bericht 2017,https://drive.google.com/file/d/1kc8SNxoKvqi4Vn6LQC2k0yoBWedTv6Am/view?usp=drive_link,
1fbcd4c9-7791-4c67-b002-a47eac742294,Schoeller-Bleckmann Oilfield Equipment AG,2018,2,,unclear,,,"seit 2017 gibt es CO2 Zahlen, nach welchem Standard oder welchen Scopes, ist unklar. vermutlich von der Größenordnung Scope 1 und 2 zusammen"
5aed18c7-8884-43cc-86dd-5d9bd7e7e362,Uniqa Insurance Group AG,2017,3,406,,Nachhaltigkeitsbericht 2017,https://drive.google.com/file/d/1w1gPBXZGxKi_0hxOfi4gX9aHpwJZagA4/view?usp=drive_link,
a96a0c80-821b-4eff-b155-826893295ffa,Immofinanz AG,2017,3,,,,,
2ccf3da2-93d9-4331-bbfd-b933f1a8db59,STRABAG SE,2017,1,876651,,Nichtfinanzieller Bericht 2019,https://drive.google.com/file/d/1R4rVYxjCYldzH1s9uSJPE_cn-keJwZwN/view?usp=drive_link,
d064b904-8183-4179-98de-670d280e219b,Erste Group Bank AG,2017,2,,market_based,Nichtfinanzieller Bericht 2017,https://drive.google.com/file/d/1uMB6xn4MQNKE8972Sj_xxwIA-3JvM9je/view?usp=drive_link,
f36012d6-77d8-4ad9-9c03-54969d7aba03,OMV AG,2016,2,,unclear,Nachhaltigkeitsbericht 2020,https://drive.google.com/file/d/1AAhsFhq8PxhnS1RVCRzPjOF5Z_-4B7ZG/view?usp=drive_link,
39472a74-bc87-4c44-ae4a-9868d4300513,Voestalpine AG,2017,1,14300000,,Corporate Responsibility Report 2021/22,https://drive.google.com/file/d/1HJxx2QfaG3m6YH7NkQsPC9asGXIfUrY4/view?usp=drive_link,
d353a231-07c0-4e76-9881-97b6e47f6fc4,Erste Group Bank AG,2017,2,48969,unclear,Nichtfinanzieller Bericht 2017,https://drive.google.com/file/d/1uMB6xn4MQNKE8972Sj_xxwIA-3JvM9je/view?usp=drive_link,
e8688232-453a-4afb-8d21-3cb117d7c428,EVN AG,2016,2,1065930,market_based,Ganzheitsbericht 2018/19,https://drive.google.com/file/d/19YImxoT1iMkMv3yXnTWgrSWy1cFtG8fg/view?usp=drive_link,
37cf47fc-b648-4d45-a333-971024584837,AT & S AG,2018,3,11100,,Nichtfinanzieller Bericht 2019/20,https://drive.google.com/file/d/1nXc9V-PWOEOtScestA5QLZ29Y-c5damS/view?usp=drive_link,"Nachhaltigkeitsbereicht für Geschäftsjahr 2018/2019 fehlt, daher rückwirkende Daten aus NHK 2019/2020; 
Geschäftsjahr 2018/2019"
1323dc86-d2d2-41f8-817e-43709272c003,EVN AG,2017,2,965563,market_based,Ganzheitsbericht 2018/19,https://drive.google.com/file/d/19YImxoT1iMkMv3yXnTWgrSWy1cFtG8fg/view?usp=drive_link,
