ARS,AGS,GEN,BEZ,netPotentialShare,buildingWithPVShare,MStRInstalledNetPower,SolarPotentialInMWhPerYear,NumberOfBuildingsWithPV,NumberOfBuildings
160620005005,16062005,Ellrich,Stadt,6.37,3.67,2784.28,43732.24,155,4218
160615014113,16061113,Schimberg,Gemeinde,9.88,10.05,1916.05,19399.92,154,1533
160615014105,16061105,Wiesenfeld,Gemeinde,4.15,6.86,115.7,2787.97,12,175
160615014098,16061098,Volkerode,Gemeinde,3.17,6.06,64.15,2022.47,10,165
160615014086,16061086,Sickerode,Gemeinde,1.52,3.9,17.92,1180.99,3,77
160615014085,16061085,Schwobfeld,Gemeinde,11.52,12.22,126.84,1100.86,11,90
160615014075,16061075,Pfaffschwende,Gemeinde,15.22,7.08,699.98,4597.57,16,226
160615014062,16061062,Krombach,Gemeinde,15.21,13.87,200.14,1315.84,19,137
160615014056,16061056,Kella,Gemeinde,9.65,4.44,336.69,3487.58,30,676
160615014035,16061035,Geismar,Gemeinde,4.19,4.75,615,14686.41,41,863
160615014023,16061023,Dieterode,Gemeinde,2.88,5.75,31.46,1094.19,5,87
160615013101,16061101,Wachstedt,Gemeinde,7.32,2.83,473.59,6470.82,14,494
160615013063,16061063,Küllstedt,Gemeinde,7.32,6.17,1100.86,15041.02,69,1119
160615013041,16061041,Großbartloff,Gemeinde,3.56,3.92,274.14,7703.6,32,817
160615013027,16061027,Effelder,Gemeinde,4.16,5.87,462.43,11123.45,56,954
160615013018,16061018,Büttstedt,Gemeinde,4.95,7.16,377.97,7631.83,50,698
160615012111,16061111,Wüstheuterode,Gemeinde,14.42,18.33,549.57,3810.93,55,300
160615012097,16061097,Uder,Gemeinde,8.86,10.87,1821.45,20559.1,115,1058
160615012096,16061096,Thalwenden,Gemeinde,9.65,18.56,287.75,2981.09,31,167
160615012091,16061091,Steinheuterode,Gemeinde,43.51,12.16,3474.46,7986.21,18,148
160615012084,16061084,Schönhagen,Gemeinde,8.72,14.93,72.1,826.42,10,67
160615012077,16061077,Röhrig,Gemeinde,3.4,5.04,41.72,1228.67,6,119
160615012068,16061068,Mackenrode,Gemeinde,4.82,5.47,117.11,2431.14,14,256
160615012067,16061067,Lutter,Gemeinde,2.25,2.27,142.2,6318.1,18,794
160615012065,16061065,Lenterode,Gemeinde,6.33,6.58,167.26,2640.87,15,228
160615012028,16061028,Eichstruth,Gemeinde,8.17,7.04,63.49,777.27,5,71
160615012024,16061024,Dietzenrode/Vatterode,Gemeinde,9.8,9.73,129.59,1321.89,11,113
160615012007,16061007,Birkenfelde,Gemeinde,4.79,5.42,190.13,3970.65,23,424
160615012002,16061002,Asbach-Sickenberg,Gemeinde,3.4,1.35,56,1647.11,4,296
160615009107,16061107,Wingerode,Gemeinde,8.4,8.88,843.98,10052.81,57,642
160615009089,16061089,Steinbach,Gemeinde,14.06,8.55,1170.88,8326.95,42,491
160615009076,16061076,Reinholterode,Gemeinde,13.72,7.99,1194.3,8706.39,44,551
160615009049,16061049,Hohes Kreuz,Gemeinde,8.28,9.33,894.77,10802.43,80,857
